,phase,library
cell_1120673,G1-G0 transition,Fibroblast
cell_1122281,G0,Fibroblast
cell_1123917,G1-G0 transition,Fibroblast
cell_1125486,G2M,Fibroblast
cell_1126482,S,Fibroblast
cell_1129357,G0,Fibroblast
cell_1129663,S,Fibroblast
cell_1131998,G1-G0 transition,Fibroblast
cell_1133272,G1-G0 transition,Fibroblast
cell_1133850,G1,Fibroblast
cell_1134317,S,Fibroblast
cell_1141709,G0,Fibroblast
cell_1143468,G1,Fibroblast
cell_1143836,S,Fibroblast
cell_1147245,G1-G0 transition,Fibroblast
cell_1147271,G1-G0 transition,Fibroblast
cell_1150627,G0,Fibroblast
cell_1151227,G1-G0 transition,Fibroblast
cell_1153187,G0,Fibroblast
cell_1153796,G1,Fibroblast
cell_1155063,G2M,Fibroblast
cell_1157549,S,Fibroblast
cell_1157781,G1,Fibroblast
cell_1159397,G2M,Fibroblast
cell_1159724,G1-G0 transition,Fibroblast
cell_1160066,G1-G0 transition,Fibroblast
cell_1163934,S,Fibroblast
cell_1165480,G2M,Fibroblast
cell_1166756,G2M,Fibroblast
cell_1168005,S,Fibroblast
cell_1170544,G1,Fibroblast
cell_1170555,G2M,Fibroblast
cell_1171264,G0,Fibroblast
cell_1172080,G2M,Fibroblast
cell_1173072,G1,Fibroblast
cell_1173623,G1-G0 transition,Fibroblast
cell_1175028,S,Fibroblast
cell_1175470,G1,Fibroblast
cell_1177493,G0,Fibroblast
cell_1179506,G1-G0 transition,Fibroblast
cell_1179900,G0,Fibroblast
cell_1179964,G2M,Fibroblast
cell_1180615,G1,Fibroblast
cell_1180981,G1-G0 transition,Fibroblast
cell_1183058,G0,Fibroblast
cell_1183725,S,Fibroblast
cell_1186309,G1,Fibroblast
cell_1189385,S,Fibroblast
cell_1189783,G1-G0 transition,Fibroblast
cell_1190184,G1,Fibroblast
cell_1190296,G1-G0 transition,Fibroblast
cell_1194608,G2M,Fibroblast
cell_1197495,G0,Fibroblast
cell_1200324,G0,Fibroblast
cell_1204529,G0,Fibroblast
cell_1205682,G0,Fibroblast
cell_1206688,G0,Fibroblast
cell_1207344,G0,Fibroblast
cell_1211540,G1,Fibroblast
cell_1211803,S,Fibroblast
cell_1211848,G1,Fibroblast
cell_1212774,G1,Fibroblast
cell_1212983,G0,Fibroblast
cell_1214159,G1-G0 transition,Fibroblast
cell_1214419,G1-G0 transition,Fibroblast
cell_1218646,G0,Fibroblast
cell_1219672,G2M,Fibroblast
cell_1223945,G0,Fibroblast
cell_1224191,G1,Fibroblast
cell_1226112,S,Fibroblast
cell_1226311,G0,Fibroblast
cell_1226712,G0,Fibroblast
cell_1226864,G0,Fibroblast
cell_1227281,G1-G0 transition,Fibroblast
cell_1227849,S,Fibroblast
cell_1230886,G1,Fibroblast
cell_1231388,G1-G0 transition,Fibroblast
cell_1232946,G0,Fibroblast
cell_1233522,S,Fibroblast
cell_1233615,G1-G0 transition,Fibroblast
cell_1234640,G0,Fibroblast
cell_1238732,G0,Fibroblast
cell_1239427,G2M,Fibroblast
cell_1242124,S,Fibroblast
cell_1247557,G0,Fibroblast
cell_1248551,G2M,Fibroblast
cell_1249096,G0,Fibroblast
cell_1250360,G1,Fibroblast
cell_1252442,S,Fibroblast
cell_1254046,S,Fibroblast
cell_1254526,G0,Fibroblast
cell_1256268,G1,Fibroblast
cell_1257183,G1,Fibroblast
cell_1259349,G1,Fibroblast
cell_1260811,S,Fibroblast
cell_1262220,S,Fibroblast
cell_1264647,G2M,Fibroblast
cell_1265637,G1,Fibroblast
cell_1269286,S,Fibroblast
cell_1272527,G1-G0 transition,Fibroblast
cell_1273918,G0,Fibroblast
cell_1276451,S,Fibroblast
cell_1277111,G1-G0 transition,Fibroblast
cell_1278998,G0,Fibroblast
cell_1279128,G0,Fibroblast
cell_1282390,S,Fibroblast
cell_1282515,G1,Fibroblast
cell_1284486,G0,Fibroblast
cell_1287456,G1,Fibroblast
cell_1290905,G1-G0 transition,Fibroblast
cell_1293251,G1-G0 transition,Fibroblast
cell_1298005,G1-G0 transition,Fibroblast
cell_1298893,S,Fibroblast
cell_1299328,G1,Fibroblast
cell_1299562,S,Fibroblast
cell_1301826,G1,Fibroblast
cell_1303447,S,Fibroblast
cell_1304396,G0,Fibroblast
cell_1305828,S,Fibroblast
cell_1306301,G1-G0 transition,Fibroblast
cell_1306364,G0,Fibroblast
cell_1307204,G0,Fibroblast
cell_1309013,G1,Fibroblast
cell_1309193,G1-G0 transition,Fibroblast
cell_1311529,G1-G0 transition,Fibroblast
cell_1312251,G0,Fibroblast
cell_1312388,G0,Fibroblast
cell_1312952,S,Fibroblast
cell_1315211,G0,Fibroblast
cell_1315280,S,Fibroblast
cell_1319364,G0,Fibroblast
cell_1320486,G1,Fibroblast
cell_1325905,S,Fibroblast
cell_1326074,G0,Fibroblast
cell_1326480,G1-G0 transition,Fibroblast
cell_1326876,G0,Fibroblast
cell_1328731,G2M,Fibroblast
cell_1328829,G1-G0 transition,Fibroblast
cell_1329323,G0,Fibroblast
cell_1331607,G0,Fibroblast
cell_1331645,S,Fibroblast
cell_1332043,S,Fibroblast
cell_1332844,G1-G0 transition,Fibroblast
cell_1332886,G2M,Fibroblast
cell_1332994,S,Fibroblast
cell_1333501,S,Fibroblast
cell_1336625,G2M,Fibroblast
cell_1336994,G1,Fibroblast
cell_1342978,S,Fibroblast
cell_1343979,S,Fibroblast
cell_1344482,G1-G0 transition,Fibroblast
cell_1344647,G0,Fibroblast
cell_1348504,S,Fibroblast
cell_1349454,G1,Fibroblast
cell_1350477,S,Fibroblast
cell_1350690,G2M,Fibroblast
cell_1351280,G0,Fibroblast
cell_1351507,G0,Fibroblast
cell_1354112,S,Fibroblast
cell_1355787,S,Fibroblast
cell_1357651,G0,Fibroblast
cell_1358000,G0,Fibroblast
cell_1358713,G1,Fibroblast
cell_1359057,G0,Fibroblast
cell_1362203,G1-G0 transition,Fibroblast
cell_1369745,G0,Fibroblast
cell_1369854,G0,Fibroblast
cell_1370948,G1-G0 transition,Fibroblast
cell_1371969,G0,Fibroblast
cell_1373407,G2M,Fibroblast
cell_1373760,G0,Fibroblast
cell_1374114,G2M,Fibroblast
cell_1374622,S,Fibroblast
cell_1377130,G0,Fibroblast
cell_1377714,G1-G0 transition,Fibroblast
cell_1377867,G1-G0 transition,Fibroblast
cell_1378133,G1-G0 transition,Fibroblast
cell_1378140,G0,Fibroblast
cell_1378449,G1-G0 transition,Fibroblast
cell_1380415,S,Fibroblast
cell_1380977,S,Fibroblast
cell_1383777,G1,Fibroblast
cell_1385002,G0,Fibroblast
cell_1385057,G2M,Fibroblast
cell_1385378,G0,Fibroblast
cell_1385889,S,Fibroblast
cell_1385963,G1-G0 transition,Fibroblast
cell_1388215,S,Fibroblast
cell_1390993,G1-G0 transition,Fibroblast
cell_1391036,G1,Fibroblast
cell_1392337,S,Fibroblast
cell_1393047,S,Fibroblast
cell_1394501,G2M,Fibroblast
cell_1398252,G0,Fibroblast
cell_1399444,G0,Fibroblast
cell_1400748,S,Fibroblast
cell_1401865,G1-G0 transition,Fibroblast
cell_1402300,G0,Fibroblast
cell_1402776,G1-G0 transition,Fibroblast
cell_1404144,G1,Fibroblast
cell_1405033,G1,Fibroblast
cell_1409405,G1,Fibroblast
cell_1410016,G0,Fibroblast
cell_1410473,G1-G0 transition,Fibroblast
cell_1414178,S,Fibroblast
cell_1418241,G1,Fibroblast
cell_1418476,G1-G0 transition,Fibroblast
cell_1418544,G2M,Fibroblast
cell_1419284,G0,Fibroblast
cell_1420123,G2M,Fibroblast
cell_1420904,G1-G0 transition,Fibroblast
cell_1421711,G1,Fibroblast
cell_1421871,G0,Fibroblast
cell_1422303,G1,Fibroblast
cell_1424667,G1,Fibroblast
cell_1427380,G0,Fibroblast
cell_1427489,G1,Fibroblast
cell_1427848,S,Fibroblast
cell_1429308,G0,Fibroblast
cell_1430868,G0,Fibroblast
cell_1431978,S,Fibroblast
cell_1433788,G0,Fibroblast
cell_1434538,G0,Fibroblast
cell_1438060,G0,Fibroblast
cell_1438324,S,Fibroblast
cell_1442635,G1-G0 transition,Fibroblast
cell_1442909,G0,Fibroblast
cell_1443288,G1,Fibroblast
cell_1443485,G0,Fibroblast
cell_1443767,G1-G0 transition,Fibroblast
cell_1446270,S,Fibroblast
cell_1448235,S,Fibroblast
cell_1450675,S,Fibroblast
cell_1453611,G0,Fibroblast
cell_1455038,G1,Fibroblast
cell_1458605,G2M,Fibroblast
cell_1461602,G0,Fibroblast
cell_1461925,S,Fibroblast
cell_1464890,S,Fibroblast
cell_1466658,S,Fibroblast
cell_1467105,G0,Fibroblast
cell_1467813,G0,Fibroblast
cell_1469063,G1-G0 transition,Fibroblast
cell_1469136,S,Fibroblast
cell_1469590,S,Fibroblast
cell_1473192,G1,Fibroblast
cell_1477673,G0,Fibroblast
cell_1482966,G0,Fibroblast
cell_1483018,G2M,Fibroblast
cell_1485784,G0,Fibroblast
cell_1490934,G0,Fibroblast
cell_1492180,G1-G0 transition,Fibroblast
cell_1495275,G1,Fibroblast
cell_1496751,G0,Fibroblast
cell_1496797,G0,Fibroblast
cell_1496830,G2M,Fibroblast
cell_1496832,G0,Fibroblast
cell_1497626,S,Fibroblast
cell_1499269,G0,Fibroblast
cell_1504899,G0,Fibroblast
cell_1505278,S,Fibroblast
cell_1506529,G1-G0 transition,Fibroblast
cell_1508914,G2M,Fibroblast
cell_1509536,G0,Fibroblast
cell_1511496,G1,Fibroblast
cell_1513525,G1-G0 transition,Fibroblast
cell_1514388,S,Fibroblast
cell_1516202,G1-G0 transition,Fibroblast
cell_1516818,S,Fibroblast
cell_1518499,G1-G0 transition,Fibroblast
cell_1518549,S,Fibroblast
cell_1519176,G2M,Fibroblast
cell_1519503,G1-G0 transition,Fibroblast
cell_1522503,G0,Fibroblast
cell_1524455,G1-G0 transition,Fibroblast
cell_1526959,S,Fibroblast
cell_1528706,G2M,Fibroblast
cell_1529239,G1,Fibroblast
cell_1530023,G1,Fibroblast
cell_1530346,S,Fibroblast
cell_1530459,S,Fibroblast
cell_1530625,G1,Fibroblast
cell_1531765,S,Fibroblast
cell_1533851,G1-G0 transition,Fibroblast
cell_1533895,G0,Fibroblast
cell_1535520,G1,Fibroblast
cell_1535999,G0,Fibroblast
cell_1536696,G2M,Fibroblast
cell_1539590,G0,Fibroblast
cell_1539598,G1-G0 transition,Fibroblast
cell_1540107,G1-G0 transition,Fibroblast
cell_1541173,G1-G0 transition,Fibroblast
cell_1542955,G0,Fibroblast
cell_1543527,G1-G0 transition,Fibroblast
cell_1544034,G0,Fibroblast
cell_1545207,G1-G0 transition,Fibroblast
cell_1545242,G2M,Fibroblast
cell_1545833,G0,Fibroblast
cell_1547311,G0,Fibroblast
cell_1547338,G1-G0 transition,Fibroblast
cell_1548423,G1,Fibroblast
cell_1553408,S,Fibroblast
cell_1555079,G0,Fibroblast
cell_1555278,G1-G0 transition,Fibroblast
cell_1556596,G1,Fibroblast
cell_1556792,G0,Fibroblast
cell_1557792,G1-G0 transition,Fibroblast
cell_1559891,S,Fibroblast
cell_1561305,G0,Fibroblast
cell_1563791,S,Fibroblast
cell_1565571,G0,Fibroblast
cell_1566090,G1,Fibroblast
cell_1568357,G1-G0 transition,Fibroblast
cell_1570600,G0,Fibroblast
cell_1572156,G1-G0 transition,Fibroblast
cell_1572579,G0,Fibroblast
cell_1575884,S,Fibroblast
cell_1581016,G1,Fibroblast
cell_1581321,S,Fibroblast
cell_1581761,G0,Fibroblast
cell_1585917,G0,Fibroblast
cell_1587876,G0,Fibroblast
cell_1588957,G0,Fibroblast
cell_1589293,G1-G0 transition,Fibroblast
cell_1590030,G1,Fibroblast
cell_1591301,G0,Fibroblast
cell_1594868,G2M,Fibroblast
cell_1595381,G0,Fibroblast
cell_1596105,G1-G0 transition,Fibroblast
cell_1597044,S,Fibroblast
cell_1597542,G1,Fibroblast
cell_1598079,G0,Fibroblast
cell_1598954,S,Fibroblast
cell_1601176,G0,Fibroblast
cell_1601941,G0,Fibroblast
cell_1601950,G0,Fibroblast
cell_1602645,G1-G0 transition,Fibroblast
cell_1603855,G0,Fibroblast
cell_1604144,G0,Fibroblast
cell_1606578,G0,Fibroblast
cell_1607688,G0,Fibroblast
cell_1609521,G1,Fibroblast
cell_1609532,G0,Fibroblast
cell_1610989,S,Fibroblast
cell_1611192,G0,Fibroblast
cell_1611351,S,Fibroblast
cell_1611655,G0,Fibroblast
cell_1616978,G1,Fibroblast
cell_1617327,G0,Fibroblast
cell_1618162,G1,Fibroblast
cell_1618246,S,Fibroblast
cell_1618771,G1,Fibroblast
cell_1618997,G0,Fibroblast
cell_1621892,G0,Fibroblast
cell_1622711,S,Fibroblast
cell_1624011,S,Fibroblast
cell_1624390,G0,Fibroblast
cell_1628082,S,Fibroblast
cell_1629830,G0,Fibroblast
cell_1631171,G0,Fibroblast
cell_1633933,G1-G0 transition,Fibroblast
cell_1635233,G1,Fibroblast
cell_1635741,G0,Fibroblast
cell_1639479,G0,Fibroblast
cell_1639746,S,Fibroblast
cell_1640441,G0,Fibroblast
cell_1640712,G0,Fibroblast
cell_1644214,G1,Fibroblast
cell_1646611,G0,Fibroblast
cell_1647458,G0,Fibroblast
cell_1648131,S,Fibroblast
cell_1651395,S,Fibroblast
cell_1653088,G0,Fibroblast
cell_1657558,G1-G0 transition,Fibroblast
cell_1659362,G1,Fibroblast
cell_1659524,G1,Fibroblast
cell_1659895,G0,Fibroblast
cell_1660258,G1,Fibroblast
cell_1660594,G0,Fibroblast
cell_1664593,G0,Fibroblast
cell_1665932,G1-G0 transition,Fibroblast
cell_1672822,S,Fibroblast
cell_1673245,G0,Fibroblast
cell_1673406,G2M,Fibroblast
cell_1676672,G0,Fibroblast
cell_1682122,G0,Fibroblast
cell_1688210,G1-G0 transition,Fibroblast
cell_1689619,G0,Fibroblast
cell_1690839,S,Fibroblast
cell_1690921,S,Fibroblast
cell_1691470,G0,Fibroblast
cell_1692617,G0,Fibroblast
cell_1693104,G0,Fibroblast
cell_1693432,G1-G0 transition,Fibroblast
cell_1693800,G0,Fibroblast
cell_1696748,S,Fibroblast
cell_1700324,G0,Fibroblast
cell_1704198,G0,Fibroblast
cell_1706432,G2M,Fibroblast
cell_1706497,G0,Fibroblast
cell_1707054,S,Fibroblast
cell_1707131,S,Fibroblast
cell_1707696,G2M,Fibroblast
cell_1709272,G1,Fibroblast
cell_1710704,G1-G0 transition,Fibroblast
cell_1712444,G1,Fibroblast
cell_1713892,G1-G0 transition,Fibroblast
cell_1715752,S,Fibroblast
cell_1717754,G1,Fibroblast
cell_1718927,S,Fibroblast
cell_1718983,G1-G0 transition,Fibroblast
cell_1720051,G0,Fibroblast
cell_1723416,G1-G0 transition,Fibroblast
cell_1724579,G1-G0 transition,Fibroblast
cell_1725259,G0,Fibroblast
cell_1726369,G0,Fibroblast
cell_1727356,G1,Fibroblast
cell_1727487,S,Fibroblast
cell_1727738,G1,Fibroblast
cell_1728602,G1,Fibroblast
cell_1729108,G0,Fibroblast
cell_1729911,S,Fibroblast
cell_1730663,G0,Fibroblast
cell_1731445,G1,Fibroblast
cell_1731935,G0,Fibroblast
cell_1732126,G1-G0 transition,Fibroblast
cell_1741657,G1,Fibroblast
cell_1749082,G1-G0 transition,Fibroblast
cell_1752190,G2M,Fibroblast
cell_1753019,G1-G0 transition,Fibroblast
cell_1754198,G0,Fibroblast
cell_1757228,G0,Fibroblast
cell_1758765,S,Fibroblast
cell_1759928,G2M,Fibroblast
cell_1760104,G1-G0 transition,Fibroblast
cell_1764268,G1-G0 transition,Fibroblast
cell_1764744,G0,Fibroblast
cell_1766259,G0,Fibroblast
cell_1766684,G0,Fibroblast
cell_1772338,G0,Fibroblast
cell_1772601,G1-G0 transition,Fibroblast
cell_1772872,G0,Fibroblast
cell_1772953,S,Fibroblast
cell_1779152,G0,Fibroblast
cell_1779874,S,Fibroblast
cell_1780461,G2M,Fibroblast
cell_1783344,G2M,Fibroblast
cell_1783977,G0,Fibroblast
cell_1786154,G1,Fibroblast
cell_1787551,G0,Fibroblast
cell_1787771,S,Fibroblast
cell_1788048,G1-G0 transition,Fibroblast
cell_1790273,G1-G0 transition,Fibroblast
cell_1790577,G1,Fibroblast
cell_1790857,G1,Fibroblast
cell_1791564,S,Fibroblast
cell_1791664,G0,Fibroblast
cell_1793986,G2M,Fibroblast
cell_1794375,G0,Fibroblast
cell_1795967,G2M,Fibroblast
cell_1796531,G1-G0 transition,Fibroblast
cell_1801814,G0,Fibroblast
cell_1803073,G1-G0 transition,Fibroblast
cell_1803184,G0,Fibroblast
cell_1803998,S,Fibroblast
cell_1809841,G1,Fibroblast
cell_1814208,G0,Fibroblast
cell_1816122,G0,Fibroblast
cell_1816524,G1-G0 transition,Fibroblast
cell_1816615,S,Fibroblast
cell_1817899,S,Fibroblast
cell_1818960,G0,Fibroblast
cell_1819005,G0,Fibroblast
cell_1819516,G1-G0 transition,Fibroblast
cell_1820235,G0,Fibroblast
cell_1820924,G0,Fibroblast
cell_1823093,G0,Fibroblast
cell_1824150,G2M,Fibroblast
cell_1824758,G1,Fibroblast
cell_1825101,G1-G0 transition,Fibroblast
cell_1827235,G1,Fibroblast
cell_1831933,S,Fibroblast
cell_1833884,G1-G0 transition,Fibroblast
cell_1834129,G1-G0 transition,Fibroblast
cell_1834244,G1-G0 transition,Fibroblast
cell_1835757,G1-G0 transition,Fibroblast
cell_1835945,G2M,Fibroblast
cell_1836473,G1,Fibroblast
cell_1838916,G1-G0 transition,Fibroblast
cell_1841774,G1-G0 transition,Fibroblast
cell_1845788,G0,Fibroblast
cell_1846623,G1,Fibroblast
cell_1848793,G2M,Fibroblast
cell_1853174,G0,Fibroblast
cell_1855656,G0,Fibroblast
cell_1857132,G0,Fibroblast
cell_1857364,S,Fibroblast
cell_1858336,G0,Fibroblast
cell_1859488,S,Fibroblast
cell_1859842,G0,Fibroblast
cell_1860272,G1,Fibroblast
cell_1861110,S,Fibroblast
cell_1861835,G1-G0 transition,Fibroblast
cell_1862188,S,Fibroblast
cell_1862218,G0,Fibroblast
cell_1865289,G0,Fibroblast
cell_1868167,G0,Fibroblast
cell_1871224,G0,Fibroblast
cell_1873630,G2M,Fibroblast
cell_1875649,G1,Fibroblast
cell_1875835,G0,Fibroblast
cell_1876387,G1-G0 transition,Fibroblast
cell_1876946,G2M,Fibroblast
cell_1877460,G0,Fibroblast
cell_1877825,G1-G0 transition,Fibroblast
cell_1878643,G1,Fibroblast
cell_1879385,S,Fibroblast
cell_1880540,S,Fibroblast
cell_1880704,G0,Fibroblast
cell_1881707,G1,Fibroblast
cell_1884541,G0,Fibroblast
cell_1885313,G0,Fibroblast
cell_1888325,S,Fibroblast
cell_1889262,G1-G0 transition,Fibroblast
cell_1891482,S,Fibroblast
cell_1892158,G1,Fibroblast
cell_1893813,G0,Fibroblast
cell_1897692,G0,Fibroblast
cell_1898032,S,Fibroblast
cell_1899418,S,Fibroblast
cell_1899589,G2M,Fibroblast
cell_1901258,G2M,Fibroblast
cell_1902279,G0,Fibroblast
cell_1902348,G2M,Fibroblast
cell_1907229,G0,Fibroblast
cell_1908062,G2M,Fibroblast
cell_1909147,G1,Fibroblast
cell_1911204,G0,Fibroblast
cell_1912133,G1,Fibroblast
cell_1916893,S,Fibroblast
cell_1917012,G1-G0 transition,Fibroblast
cell_1919406,G1-G0 transition,Fibroblast
cell_1923772,G0,Fibroblast
cell_1924642,G1,Fibroblast
cell_1925009,S,Fibroblast
cell_1925391,G1-G0 transition,Fibroblast
cell_1927939,G1-G0 transition,Fibroblast
cell_1928988,G1,Fibroblast
cell_1933681,S,Fibroblast
cell_1933708,G1-G0 transition,Fibroblast
cell_1935232,G1-G0 transition,Fibroblast
cell_1936015,G1-G0 transition,Fibroblast
cell_1936544,G2M,Fibroblast
cell_1939567,G0,Fibroblast
cell_1939980,G1,Fibroblast
cell_1940160,G0,Fibroblast
cell_1943139,G1,Fibroblast
cell_1944584,G0,Fibroblast
cell_1944758,G1,Fibroblast
cell_1949087,S,Fibroblast
cell_1951524,G1-G0 transition,Fibroblast
cell_1952867,G0,Fibroblast
cell_1954885,G2M,Fibroblast
cell_1957612,S,Fibroblast
cell_1963916,G0,Fibroblast
cell_1964463,G0,Fibroblast
cell_1964593,G1,Fibroblast
cell_1965094,G0,Fibroblast
cell_1965672,G0,Fibroblast
cell_1969930,G0,Fibroblast
cell_1970107,S,Fibroblast
cell_1972870,G1,Fibroblast
cell_1973050,G1-G0 transition,Fibroblast
cell_1975430,G1-G0 transition,Fibroblast
cell_1979479,G2M,Fibroblast
cell_1979698,G0,Fibroblast
cell_1982327,S,Fibroblast
cell_1984548,G0,Fibroblast
cell_1985075,G1,Fibroblast
cell_1985107,G1,Fibroblast
cell_1986567,G0,Fibroblast
cell_1991996,G1,Fibroblast
cell_1993012,S,Fibroblast
cell_1993263,G1-G0 transition,Fibroblast
cell_1995368,G2M,Fibroblast
cell_1998085,S,Fibroblast
cell_2002285,G0,Fibroblast
cell_2003359,G1,Fibroblast
cell_2006541,S,Fibroblast
cell_2007886,G0,Fibroblast
cell_2008430,G0,Fibroblast
cell_2009896,G0,Fibroblast
cell_2011814,G0,Fibroblast
cell_2013827,G0,Fibroblast
cell_2017043,G0,Fibroblast
cell_2017150,G1-G0 transition,Fibroblast
cell_2017779,S,Fibroblast
cell_2020340,G1,Fibroblast
cell_2020883,G1,Fibroblast
cell_2021737,G0,Fibroblast
cell_2023247,G1,Fibroblast
cell_2023670,G0,Fibroblast
cell_2027351,G1,Fibroblast
cell_2027380,G0,Fibroblast
cell_2028644,G0,Fibroblast
cell_2029027,G1,Fibroblast
cell_2029510,G0,Fibroblast
cell_2029674,S,Fibroblast
cell_2031717,G2M,Fibroblast
cell_2032272,S,Fibroblast
cell_2035652,G2M,Fibroblast
cell_2037029,G1,Fibroblast
cell_2043552,G1,Fibroblast
cell_2043670,G1,Fibroblast
cell_2043688,G2M,Fibroblast
cell_2044742,S,Fibroblast
cell_2045567,G1-G0 transition,Fibroblast
cell_2047172,G0,Fibroblast
cell_2050419,G1-G0 transition,Fibroblast
cell_2051071,S,Fibroblast
cell_2052708,G0,Fibroblast
cell_2053581,S,Fibroblast
cell_2053796,S,Fibroblast
cell_2054424,S,Fibroblast
cell_2058964,G0,Fibroblast
cell_2059466,G0,Fibroblast
cell_2060852,G1,Fibroblast
cell_2063497,S,Fibroblast
cell_2063934,G1,Fibroblast
cell_2064149,G1-G0 transition,Fibroblast
cell_2064492,G1,Fibroblast
cell_2064727,S,Fibroblast
cell_2065240,G0,Fibroblast
cell_2068224,G2M,Fibroblast
cell_2070322,G0,Fibroblast
cell_2075805,G1-G0 transition,Fibroblast
cell_2076813,G0,Fibroblast
cell_2080875,S,Fibroblast
cell_2084547,S,Fibroblast
cell_2085894,G1-G0 transition,Fibroblast
cell_2086910,S,Fibroblast
cell_2090476,G1-G0 transition,Fibroblast
cell_2091736,G1-G0 transition,Fibroblast
cell_2093222,G2M,Fibroblast
cell_2097256,G2M,Fibroblast
cell_2097636,G1-G0 transition,Fibroblast
cell_2099568,G1-G0 transition,Fibroblast
cell_2101753,G0,Fibroblast
cell_2103460,S,Fibroblast
cell_2104174,G0,Fibroblast
cell_2104874,G1,Fibroblast
cell_2105847,G1,Fibroblast
cell_2106171,G1,Fibroblast
cell_2106586,G1-G0 transition,Fibroblast
cell_2107818,S,Fibroblast
cell_2108529,G1-G0 transition,Fibroblast
cell_2110214,G2M,Fibroblast
cell_2113100,G0,Fibroblast
cell_2114198,G2M,Fibroblast
cell_2114347,G1-G0 transition,Fibroblast
cell_2117497,G2M,Fibroblast
cell_2121131,G0,Fibroblast
cell_2121390,G1,Fibroblast
cell_2124721,G2M,Fibroblast
cell_2125144,S,Fibroblast
cell_2126109,G0,Fibroblast
cell_2126838,G1-G0 transition,Fibroblast
cell_2127237,G0,Fibroblast
cell_2127285,G0,Fibroblast
cell_2128474,G1-G0 transition,Fibroblast
cell_2129502,G2M,Fibroblast
cell_2131477,G1,Fibroblast
cell_2131754,S,Fibroblast
cell_2132851,S,Fibroblast
cell_2133362,S,Fibroblast
cell_2133832,S,Fibroblast
cell_2134494,S,Fibroblast
cell_2136772,G2M,Fibroblast
cell_2139160,G0,Fibroblast
cell_2140689,G1,Fibroblast
cell_2140825,G0,Fibroblast
cell_2141588,G1,Fibroblast
cell_2143132,S,Fibroblast
cell_2143295,G0,Fibroblast
cell_2143627,G0,Fibroblast
cell_2144758,S,Fibroblast
cell_2145354,G0,Fibroblast
cell_2146335,G1,Fibroblast
cell_2146887,S,Fibroblast
cell_2148391,G0,Fibroblast
cell_2149431,S,Fibroblast
cell_2153634,S,Fibroblast
cell_2154243,G1,Fibroblast
cell_2157091,G1-G0 transition,Fibroblast
cell_2160504,G0,Fibroblast
cell_2161324,G1-G0 transition,Fibroblast
cell_2162381,G1-G0 transition,Fibroblast
cell_2166479,G1-G0 transition,Fibroblast
cell_2169597,G2M,Fibroblast
cell_2170496,G0,Fibroblast
cell_2172331,G1,Fibroblast
cell_2173478,S,Fibroblast
cell_2173757,S,Fibroblast
cell_2174830,G0,Fibroblast
cell_2175805,G0,Fibroblast
cell_2177591,S,Fibroblast
cell_2178468,G1,Fibroblast
cell_2179281,G0,Fibroblast
cell_2181455,S,Fibroblast
cell_2182051,S,Fibroblast
cell_2182951,G1-G0 transition,Fibroblast
cell_2185285,G2M,Fibroblast
cell_2185608,G1,Fibroblast
cell_2185961,S,Fibroblast
cell_2187456,S,Fibroblast
cell_2189525,G2M,Fibroblast
cell_2189885,G1,Fibroblast
cell_2190646,G1,Fibroblast
cell_2193948,S,Fibroblast
cell_2196087,G1,Fibroblast
cell_2197618,S,Fibroblast
cell_2198398,G0,Fibroblast
cell_2201568,G1,Fibroblast
cell_2202156,G2M,Fibroblast
cell_2202845,G0,Fibroblast
cell_2204689,G1,Fibroblast
cell_2206408,G0,Fibroblast
cell_2208434,G0,Fibroblast
cell_2209733,G1,Fibroblast
cell_2211069,G0,Fibroblast
cell_2214345,G2M,Fibroblast
cell_2214465,G0,Fibroblast
cell_2218351,S,Fibroblast
cell_2219208,G0,Fibroblast
cell_2219739,G1-G0 transition,Fibroblast
cell_2219830,G1,Fibroblast
cell_2220922,G0,Fibroblast
cell_2225749,S,Fibroblast
cell_2226802,S,Fibroblast
cell_2229128,G0,Fibroblast
cell_2231212,G1-G0 transition,Fibroblast
cell_2231499,S,Fibroblast
cell_2231698,G1-G0 transition,Fibroblast
cell_2231881,G0,Fibroblast
cell_2232481,G0,Fibroblast
cell_2234715,G1-G0 transition,Fibroblast
cell_2235399,G0,Fibroblast
cell_2236600,G2M,Fibroblast
cell_2238579,G2M,Fibroblast
cell_2242811,G2M,Fibroblast
cell_2242829,G1-G0 transition,Fibroblast
cell_2243537,S,Fibroblast
cell_2244465,G0,Fibroblast
cell_2245189,G0,Fibroblast
cell_2245536,G0,Fibroblast
cell_2247535,G0,Fibroblast
cell_2248101,G1-G0 transition,Fibroblast
cell_2249499,G0,Fibroblast
cell_2249612,G0,Fibroblast
cell_2250213,G0,Fibroblast
cell_2254754,S,Fibroblast
cell_2255451,G2M,Fibroblast
cell_2257947,S,Fibroblast
cell_2258254,G0,Fibroblast
cell_2258556,S,Fibroblast
cell_2259099,G1-G0 transition,Fibroblast
cell_2260437,G1-G0 transition,Fibroblast
cell_2261216,S,Fibroblast
cell_2262869,G0,Fibroblast
cell_2264697,G1-G0 transition,Fibroblast
cell_2266905,G0,Fibroblast
cell_2267665,G0,Fibroblast
cell_2267949,G2M,Fibroblast
cell_2268391,G1-G0 transition,Fibroblast
cell_2268710,G1,Fibroblast
cell_2271116,G1,Fibroblast
cell_2272852,G1,Fibroblast
cell_2272993,G0,Fibroblast
