,Gene_stable_ID,human_genes,mouse_genes,Mouse_gene_stable_ID
41821,ENSG00000204308,RNF5,Rnf5,ENSMUSG00000015478
41826,ENSG00000060971,ACAA1,Acaa1b,ENSMUSG00000010651
41827,ENSG00000060971,ACAA1,Acaa1a,ENSMUSG00000036138
41828,ENSG00000169856,ONECUT1,Onecut1,ENSMUSG00000043013
41831,ENSG00000109111,SUPT6H,Supt6,ENSMUSG00000002052
41834,ENSG00000204304,PBX2,Pbx2,ENSMUSG00000034673
41835,ENSG00000213638,ADAT3,Gm49322,ENSMUSG00000035370
41836,ENSG00000213638,ADAT3,Adat3,ENSMUSG00000113640
41837,ENSG00000104133,SPG11,Spg11,ENSMUSG00000033396
41840,ENSG00000133275,CSNK1G2,Csnk1g2,ENSMUSG00000003345
41841,ENSG00000042781,USH2A,Ush2a,ENSMUSG00000026609
41842,ENSG00000105968,H2AZ2,H2az2,ENSMUSG00000041126
41843,ENSG00000125485,DDX31,Ddx31,ENSMUSG00000026806
41847,ENSG00000122882,ECD,Ecd,ENSMUSG00000021810
41848,ENSG00000166432,ZMAT1,Zmat1,ENSMUSG00000052676
41849,ENSG00000213654,GPSM3,Gpsm3,ENSMUSG00000034786
41850,ENSG00000175274,TP53I11,Trp53i11,ENSMUSG00000068735
41851,ENSG00000135740,SLC9A5,Slc9a5,ENSMUSG00000014786
41852,ENSG00000136872,ALDOB,Aldob,ENSMUSG00000028307
41855,ENSG00000176473,WDR25,Wdr25,ENSMUSG00000040877
41858,ENSG00000146676,PURB,Purb,ENSMUSG00000094483
41859,ENSG00000196976,LAGE3,Lage3,ENSMUSG00000015289
41860,ENSG00000284261,MIR4657,Gm22123,ENSMUSG00000092885
41865,ENSG00000165675,ENOX2,Enox2,ENSMUSG00000031109
41866,ENSG00000136279,DBNL,Dbnl,ENSMUSG00000020476
41871,ENSG00000130332,LSM7,Lsm7,ENSMUSG00000035215
41872,ENSG00000136932,TRMO,Trmo,ENSMUSG00000028331
41875,ENSG00000176595,KBTBD11,Kbtbd11,ENSMUSG00000055675
41878,ENSG00000036448,MYOM2,Myom2,ENSMUSG00000031461
41879,ENSG00000099800,TIMM13,Timm13,ENSMUSG00000020219
41881,ENSG00000107159,CA9,Car9,ENSMUSG00000028463
41882,ENSG00000168676,KCTD19,Kctd19,ENSMUSG00000051648
41886,ENSG00000204287,HLA-DRA,H2-Ea,ENSMUSG00000036322
41889,ENSG00000176619,LMNB2,Lmnb2,ENSMUSG00000062075
41890,ENSG00000100628,ASB2,Asb2,ENSMUSG00000021200
41893,ENSG00000146112,PPP1R18,Ppp1r18,ENSMUSG00000034595
41894,ENSG00000148337,CIZ1,Ciz1,ENSMUSG00000039205
41895,ENSG00000138286,FAM149B1,Fam149b,ENSMUSG00000039599
41896,ENSG00000064199,SPA17,Spa17,ENSMUSG00000001948
41901,ENSG00000099860,GADD45B,Gadd45b,ENSMUSG00000015312
41955,ENSG00000111684,LPCAT3,Lpcat3,ENSMUSG00000004270
41960,ENSG00000135373,EHF,Ehf,ENSMUSG00000012350
41962,ENSG00000158352,SHROOM4,Shroom4,ENSMUSG00000068270
41966,ENSG00000196230,TUBB,Tubb5,ENSMUSG00000001525
41967,ENSG00000159708,LRRC36,Lrrc36,ENSMUSG00000054320
41976,ENSG00000109113,RAB34,Rab34,ENSMUSG00000002059
41979,ENSG00000142409,ZNF787,Zfp787,ENSMUSG00000046792
41983,ENSG00000035687,ADSS2,Adss,ENSMUSG00000015961
41985,ENSG00000089723,OTUB2,Otub2,ENSMUSG00000021203
41987,ENSG00000137312,FLOT1,Flot1,ENSMUSG00000059714
41988,ENSG00000167685,ZNF444,Zfp444,ENSMUSG00000044876
41989,ENSG00000213551,DNAJC9,Dnajc9,ENSMUSG00000021811
41992,ENSG00000182518,FAM104B,Fam104a,ENSMUSG00000041629
41993,ENSG00000132639,SNAP25,Snap25,ENSMUSG00000027273
41998,ENSG00000138758,SEPTIN11,Septin11,ENSMUSG00000058013
41999,ENSG00000182180,MRPS16,Mrps16,ENSMUSG00000049960
42000,ENSG00000180287,PLD5,Pld5,ENSMUSG00000055214
42002,ENSG00000184368,MAP7D2,Map7d2,ENSMUSG00000041020
42005,ENSG00000076554,TPD52,Tpd52,ENSMUSG00000027506
42008,ENSG00000197487,GALP,Galp,ENSMUSG00000034660
42011,ENSG00000138279,ANXA7,Anxa7,ENSMUSG00000021814
42016,ENSG00000099797,TECR,Tecr,ENSMUSG00000031708
42017,ENSG00000159403,C1R,C1rb,ENSMUSG00000098470
42018,ENSG00000159403,C1R,C1ra,ENSMUSG00000055172
42020,ENSG00000114354,TFG,Tfg,ENSMUSG00000022757
42022,ENSG00000119698,PPP4R4,Ppp4r4,ENSMUSG00000021209
42024,ENSG00000230124,ACBD6,Acbd6,ENSMUSG00000033701
42025,ENSG00000159713,TPPP3,Tppp3,ENSMUSG00000014846
42026,ENSG00000101346,POFUT1,Pofut1,ENSMUSG00000046020
42029,ENSG00000251493,FOXD1,Foxd1,ENSMUSG00000078302
42033,ENSG00000110031,LPXN,Lpxn,ENSMUSG00000024696
42035,ENSG00000164331,ANKRA2,Ankra2,ENSMUSG00000021661
42041,ENSG00000170191,NANP,Nanp,ENSMUSG00000053916
42044,ENSG00000159714,ZDHHC1,Zdhhc1,ENSMUSG00000039199
42046,ENSG00000048740,CELF2,Celf2,ENSMUSG00000002107
42047,ENSG00000138738,PRDM5,Prdm5,ENSMUSG00000029913
42048,ENSG00000177098,SCN4B,Scn4b,ENSMUSG00000046480
42049,ENSG00000007341,ST7L,St7l,ENSMUSG00000045576
42053,ENSG00000126803,HSPA2,Hspa2,ENSMUSG00000059970
42054,ENSG00000136352,NKX2-1,Nkx2-1,ENSMUSG00000001496
42055,ENSG00000164338,UTP15,Utp15,ENSMUSG00000041747
42062,ENSG00000173674,EIF1AX,Eif1ax,ENSMUSG00000067194
42068,ENSG00000129083,COPB1,Copb1,ENSMUSG00000030754
42069,ENSG00000165588,OTX2,Otx2,ENSMUSG00000021848
42070,ENSG00000176387,HSD11B2,Hsd11b2,ENSMUSG00000031891
42072,ENSG00000137331,IER3,Ier3,ENSMUSG00000003541
42077,ENSG00000126001,CEP250,Cep250,ENSMUSG00000038241
42079,ENSG00000137285,TUBB2B,Tubb2b,ENSMUSG00000045136
42081,ENSG00000159723,AGRP,Agrp,ENSMUSG00000005705
42082,ENSG00000180822,PSMG4,Psmg4,ENSMUSG00000071451
42090,ENSG00000177189,RPS6KA3,Rps6ka3,ENSMUSG00000031309
42098,ENSG00000137266,SLC22A23,Slc22a23,ENSMUSG00000038267
42099,ENSG00000139197,PEX5,Pex5,ENSMUSG00000005069
42101,ENSG00000189184,PCDH18,Pcdh18,ENSMUSG00000037892
42110,ENSG00000164708,PGAM2,Pgam2,ENSMUSG00000020475
42113,ENSG00000132612,VPS4A,Vps4a,ENSMUSG00000031913
42117,ENSG00000184916,JAG2,Jag2,ENSMUSG00000002799
42119,ENSG00000122678,POLM,Polm,ENSMUSG00000020474
42120,ENSG00000152700,SAR1B,Sar1b,ENSMUSG00000020386
42122,ENSG00000099795,NDUFB7,Ndufb7,ENSMUSG00000033938
42123,ENSG00000185697,MYBL1,Mybl1,ENSMUSG00000025912
42126,ENSG00000213380,COG8,Cog8,ENSMUSG00000031916
42127,ENSG00000105429,MEGF8,Megf8,ENSMUSG00000045039
42128,ENSG00000150627,WDR17,Wdr17,ENSMUSG00000039375
42129,ENSG00000258429,PDF,Pdf,ENSMUSG00000078931
42133,ENSG00000132603,NIP7,Nip7,ENSMUSG00000031917
42134,ENSG00000149782,PLCB3,Plcb3,ENSMUSG00000024960
42135,ENSG00000198242,RPL23A,Rpl23a,ENSMUSG00000058546
42136,ENSG00000207459,RNU6-1311P,Gm24400,ENSMUSG00000088490
42137,ENSG00000113615,SEC24A,Sec24a,ENSMUSG00000036391
42138,ENSG00000157315,TMED6,Tmed6,ENSMUSG00000031919
42140,ENSG00000137267,TUBB2A,Tubb2a,ENSMUSG00000058672
42142,ENSG00000132604,TERF2,Terf2,ENSMUSG00000031921
42144,ENSG00000111799,COL12A1,Col12a1,ENSMUSG00000032332
42147,ENSG00000120896,SORBS3,Sorbs3,ENSMUSG00000022091
42148,ENSG00000238423,SNORD42B,Snord42b,ENSMUSG00000065676
42150,ENSG00000238578,SNORD4A,Snord4a,ENSMUSG00000077625
42151,ENSG00000238649,SNORD42A,Snord42a,ENSMUSG00000064540
42153,ENSG00000101076,HNF4A,Hnf4a,ENSMUSG00000017950
42154,ENSG00000160606,TLCD1,Tlcd1,ENSMUSG00000019437
42157,ENSG00000179364,PACS2,Pacs2,ENSMUSG00000021143
42160,ENSG00000160602,NEK8,Nek8,ENSMUSG00000017405
42162,ENSG00000222266,RNU6-757P,Gm24097,ENSMUSG00000119653
42164,ENSG00000164615,CAMLG,Caml,ENSMUSG00000021501
42166,ENSG00000143324,XPR1,Xpr1,ENSMUSG00000026469
42168,ENSG00000145833,DDX46,Ddx46,ENSMUSG00000021500
42169,ENSG00000106636,YKT6,Ykt6,ENSMUSG00000002741
42174,ENSG00000138757,G3BP2,G3bp2,ENSMUSG00000029405
42175,ENSG00000176715,ACSF3,Acsf3,ENSMUSG00000015016
42176,ENSG00000173681,BCLAF3,Bclaf3,ENSMUSG00000044150
42178,ENSG00000105427,CNFN,Cnfn,ENSMUSG00000063651
42179,ENSG00000079435,LIPE,Lipe,ENSMUSG00000003123
42198,ENSG00000189377,CXCL17,Cxcl17,ENSMUSG00000060188
42199,ENSG00000123700,KCNJ2,Kcnj2,ENSMUSG00000041695
42203,ENSG00000130119,GNL3L,Gnl3l,ENSMUSG00000025266
42212,ENSG00000118193,KIF14,Kif14,ENSMUSG00000041498
42217,ENSG00000149201,CCDC81,Ccdc81,ENSMUSG00000039391
42220,ENSG00000221393,MIR1302-6,Gm54767,ENSMUSG00002076649
42222,ENSG00000114742,WDR48,Wdr48,ENSMUSG00000032512
42225,ENSG00000198842,STYXL2,Styxl2,ENSMUSG00000026564
42227,ENSG00000182687,GALR2,Galr2,ENSMUSG00000020793
42229,ENSG00000127951,FGL2,Fgl2,ENSMUSG00000039899
42231,ENSG00000146535,GNA12,Gna12,ENSMUSG00000000149
42233,ENSG00000181904,C5orf24,B230219D22Rik,ENSMUSG00000045767
42234,ENSG00000182473,EXOC7,Exoc7,ENSMUSG00000020792
42235,ENSG00000198756,COLGALT2,Colgalt2,ENSMUSG00000032649
42237,ENSG00000113621,TXNDC15,Txndc15,ENSMUSG00000021497
42244,ENSG00000129910,CDH15,Cdh15,ENSMUSG00000031962
42245,ENSG00000086730,LAT2,Lat2,ENSMUSG00000040751
42253,ENSG00000064601,CTSA,Ctsa,ENSMUSG00000017760
42255,ENSG00000177556,ATOX1,Atox1,ENSMUSG00000018585
42263,ENSG00000054282,SDCCAG8,Sdccag8,ENSMUSG00000026504
42265,ENSG00000164756,SLC30A8,Slc30a8,ENSMUSG00000022315
42266,ENSG00000086848,ALG9,Alg9,ENSMUSG00000032059
42273,ENSG00000156042,CFAP70,Cfap70,ENSMUSG00000039543
42274,ENSG00000170100,ZNF778,Zfp763,ENSMUSG00000067430
42275,ENSG00000170100,ZNF778,Gm14288,ENSMUSG00000078889
42278,ENSG00000145888,GLRA1,Glra1,ENSMUSG00000000263
42279,ENSG00000178038,ALS2CL,Als2cl,ENSMUSG00000044037
42282,ENSG00000183780,SLC35F3,Slc35f3,ENSMUSG00000057060
42285,ENSG00000162702,ZNF281,Zfp281,ENSMUSG00000041483
42290,ENSG00000107669,ATE1,Ate1,ENSMUSG00000030850
42293,ENSG00000205883,DEFB135,Defb30,ENSMUSG00000075571
42296,ENSG00000143194,MAEL,Mael,ENSMUSG00000040629
42311,ENSG00000171004,HS6ST2,Hs6st2,ENSMUSG00000062184
42312,ENSG00000164175,SLC45A2,Slc45a2,ENSMUSG00000022243
42315,ENSG00000139438,FAM222A,Fam222a,ENSMUSG00000041930
42334,ENSG00000203952,CCDC160,Ccdc160,ENSMUSG00000073207
42336,ENSG00000226174,TEX22,Tex22,ENSMUSG00000012211
42338,ENSG00000132002,DNAJB1,Dnajb1,ENSMUSG00000005483
42339,ENSG00000184210,DGAT2L6,Dgat2l6,ENSMUSG00000067597
42358,ENSG00000204195,AWAT1,Awat1,ENSMUSG00000015665
42359,ENSG00000165219,GAPVD1,Gapvd1,ENSMUSG00000026867
42362,ENSG00000251859,RNU6-1288P,Gm23573,ENSMUSG00000119411
42369,ENSG00000222616,RN7SKP27,Gm56084,ENSMUSG00002075015
42370,ENSG00000222616,RN7SKP27,Gm55882,ENSMUSG00002076304
42372,ENSG00000207170,RNU6-1215P,Gm22557,ENSMUSG00000088429
42379,ENSG00000207183,RNU6-843P,Gm25815,ENSMUSG00000064689
42384,ENSG00000182979,MTA1,Mta1,ENSMUSG00000021144
42387,ENSG00000199179,MIRLET7I,Mirlet7i,ENSMUSG00000065406
42393,ENSG00000207255,RNU6-1117P,Gm26066,ENSMUSG00000119631
42394,ENSG00000207255,RNU6-1117P,Gm25401,ENSMUSG00000064909
42399,ENSG00000223245,RNU4-63P,Gm54493,ENSMUSG00002074939
42400,ENSG00000186912,P2RY4,P2ry4,ENSMUSG00000044359
42401,ENSG00000082196,C1QTNF3,C1qtnf3,ENSMUSG00000058914
42404,ENSG00000120500,ARR3,Arr3,ENSMUSG00000060890
42424,ENSG00000207798,MIR216A,Mir216a,ENSMUSG00000065539
42425,ENSG00000211520,MIR216B,Mir216b,ENSMUSG00000076318
42427,ENSG00000111199,TRPV4,Trpv4,ENSMUSG00000014158
42442,ENSG00000076826,CAMSAP3,Camsap3,ENSMUSG00000044433
42453,ENSG00000138795,LEF1,Lef1,ENSMUSG00000027985
42465,ENSG00000165678,GHITM,Ghitm,ENSMUSG00000041028
42469,ENSG00000169258,GPRIN1,Gprin1,ENSMUSG00000069227
42478,ENSG00000074317,SNCB,Sncb,ENSMUSG00000034891
42483,ENSG00000255561,FDXACB1,Fdxacb1,ENSMUSG00000037845
42496,ENSG00000207249,SNORA72,Gm24061,ENSMUSG00000088114
42497,ENSG00000212283,SNORD89,Snord89,ENSMUSG00000077704
42506,ENSG00000188373,GPR15LG,Gpr15lg,ENSMUSG00000096001
42509,ENSG00000206726,RNU6-259P,Gm23958,ENSMUSG00000087832
42514,ENSG00000137720,CFAP68,Cfap68,ENSMUSG00000037971
42515,ENSG00000206963,RNU6-675P,Gm25482,ENSMUSG00000065159
42518,ENSG00000148600,CDHR1,Cdhr1,ENSMUSG00000021803
42528,ENSG00000090889,KIF4A,Kif4,ENSMUSG00000034311
42534,ENSG00000222826,RN7SKP286,Gm54555,ENSMUSG00002076563
42542,ENSG00000206718,RNU6-546P,Gm24242,ENSMUSG00000118838
42550,ENSG00000202029,RNU6-580P,Gm22078,ENSMUSG00000088218
42560,ENSG00000076924,XAB2,Xab2,ENSMUSG00000019470
42565,ENSG00000133317,LGALS12,Lgals12,ENSMUSG00000024972
42574,ENSG00000222845,RN7SKP42,Gm54581,ENSMUSG00002075632
42583,ENSG00000049541,RFC2,Rfc2,ENSMUSG00000023104
42586,ENSG00000199348,RNU6-766P,Gm25362,ENSMUSG00000089479
42605,ENSG00000181585,TMIE,Tmie,ENSMUSG00000049555
42606,ENSG00000201044,RNU6-268P,Gm24457,ENSMUSG00000065130
42611,ENSG00000202016,RNU6-619P,Gm23926,ENSMUSG00000064407
42614,ENSG00000162975,KCNF1,Kcnf1,ENSMUSG00000051726
42615,ENSG00000054267,ARID4B,Arid4b,ENSMUSG00000039219
42616,ENSG00000175766,EIF4E1B,Eif4e1b,ENSMUSG00000074895
42625,ENSG00000112697,TMEM30A,Tmem30a,ENSMUSG00000032328
42627,ENSG00000283706,PRSS50,Prss50,ENSMUSG00000048752
42629,ENSG00000147647,DPYS,Dpys,ENSMUSG00000022304
42633,ENSG00000160801,PTH1R,Pth1r,ENSMUSG00000032492
42634,ENSG00000048140,TSPAN17,Tspan17,ENSMUSG00000025875
42635,ENSG00000162976,SLC66A3,Slc66a3,ENSMUSG00000045679
42636,ENSG00000174788,PCP2,Pcp2,ENSMUSG00000004630
42637,ENSG00000164935,DCSTAMP,Dcstamp,ENSMUSG00000022303
42638,ENSG00000204033,LRIT2,Lrit2,ENSMUSG00000043418
42642,ENSG00000104918,RETN,Retn,ENSMUSG00000012705
42648,ENSG00000130055,GDPD2,Gdpd2,ENSMUSG00000019359
42649,ENSG00000175946,KLHL38,Klhl38,ENSMUSG00000022357
42652,ENSG00000148604,RGR,Rgr,ENSMUSG00000021804
42654,ENSG00000184743,ATL3,Atl3,ENSMUSG00000024759
42655,ENSG00000091879,ANGPT2,Angpt2,ENSMUSG00000031465
42660,ENSG00000181029,TRAPPC5,Trappc5,ENSMUSG00000040236
42661,ENSG00000157869,RAB28,Rab28,ENSMUSG00000029128
42662,ENSG00000104921,FCER2,Fcer2a,ENSMUSG00000005540
42663,ENSG00000151304,SRFBP1,Srfbp1,ENSMUSG00000024528
42673,ENSG00000133318,RTN3,Rtn3,ENSMUSG00000024758
42680,ENSG00000169016,E2F6,E2f6,ENSMUSG00000057469
42681,ENSG00000146197,SCUBE3,Scube3,ENSMUSG00000038677
42682,ENSG00000113083,LOX,Lox,ENSMUSG00000024529
42686,ENSG00000120509,PDZD11,Pdzd11,ENSMUSG00000015668
42688,ENSG00000065029,ZNF76,Zfp523,ENSMUSG00000024220
42689,ENSG00000148602,LRIT1,Lrit1,ENSMUSG00000041044
42691,ENSG00000101210,EEF1A2,Eef1a2,ENSMUSG00000016349
42695,ENSG00000026025,VIM,Vim,ENSMUSG00000026728
42696,ENSG00000010671,BTK,Btk,ENSMUSG00000031264
42699,ENSG00000182809,CRIP2,Crip2,ENSMUSG00000006356
42704,ENSG00000155189,AGPAT5,Agpat5,ENSMUSG00000031467
42706,ENSG00000183248,PRR36,Prr36,ENSMUSG00000064125
42707,ENSG00000256394,ASIC5,Asic5,ENSMUSG00000028008
42709,ENSG00000181163,NPM1,Npm1,ENSMUSG00000057113
42710,ENSG00000106665,CLIP2,Clip2,ENSMUSG00000063146
42712,ENSG00000172345,STARD5,Stard5,ENSMUSG00000046027
42716,ENSG00000171017,LRRC8E,Lrrc8e,ENSMUSG00000046589
42718,ENSG00000188070,ZFTA,Zfta,ENSMUSG00000053080
42719,ENSG00000151790,TDO2,Tdo2,ENSMUSG00000028011
42722,ENSG00000136574,GATA4,Gata4,ENSMUSG00000021944
42724,ENSG00000198121,LPAR1,Lpar1,ENSMUSG00000038668
42727,ENSG00000075043,KCNQ2,Kcnq2,ENSMUSG00000016346
42728,ENSG00000168005,SPINDOC,Spindoc,ENSMUSG00000024970
42729,ENSG00000076984,MAP2K7,Map2k7,ENSMUSG00000002948
42731,ENSG00000188869,TMC3,Tmc3,ENSMUSG00000038540
42739,ENSG00000160796,NBEAL2,Nbeal2,ENSMUSG00000056724
42740,ENSG00000256043,CTSO,Ctso,ENSMUSG00000028015
42742,ENSG00000112033,PPARD,Ppard,ENSMUSG00000002250
42743,ENSG00000166788,SAAL1,Saal1,ENSMUSG00000006763
42747,ENSG00000175137,SH3BP5L,Sh3bp5l,ENSMUSG00000013646
42748,ENSG00000165124,SVEP1,Svep1,ENSMUSG00000028369
42749,ENSG00000134245,WNT2B,Wnt2b,ENSMUSG00000027840
42753,ENSG00000122641,INHBA,Inhba,ENSMUSG00000041324
42761,ENSG00000147316,MCPH1,Mcph1,ENSMUSG00000039842
42770,ENSG00000138386,NAB1,Nab1,ENSMUSG00000002881
42771,ENSG00000182768,NGRN,Ngrn,ENSMUSG00000047084
42787,ENSG00000069275,NUCKS1,Nucks1,ENSMUSG00000026434
42788,ENSG00000187783,TMEM72,Tmem72,ENSMUSG00000048108
42789,ENSG00000178531,CTXN1,Ctxn1,ENSMUSG00000048644
42795,ENSG00000170522,ELOVL6,Elovl6,ENSMUSG00000041220
42805,ENSG00000104980,TIMM44,Timm44,ENSMUSG00000002949
42810,ENSG00000198755,RPL10A,Rpl10a,ENSMUSG00000037805
42814,ENSG00000103876,FAH,Fah,ENSMUSG00000030630
42815,ENSG00000172731,LRRC20,Lrrc20,ENSMUSG00000037151
42822,ENSG00000196358,NTNG2,Ntng2,ENSMUSG00000035513
42823,ENSG00000237254,TRBV30,Trbv31,ENSMUSG00000076499
42824,ENSG00000106123,EPHB6,Ephb6,ENSMUSG00000029869
42826,ENSG00000187889,FYB2,Fyb2,ENSMUSG00000078612
42828,ENSG00000007866,TEAD3,Tead3,ENSMUSG00000002249
42831,ENSG00000030304,MUSK,Musk,ENSMUSG00000057280
42834,ENSG00000212160,RNU6-205P,Gm26255,ENSMUSG00000084441
42840,ENSG00000213145,CRIP1,Crip1,ENSMUSG00000006360
42858,ENSG00000148444,COMMD3,Commd3,ENSMUSG00000051154
42861,ENSG00000097046,CDC7,Cdc7,ENSMUSG00000029283
42864,ENSG00000129654,FOXJ1,Foxj1,ENSMUSG00000034227
42877,ENSG00000182628,SKA2,Ska2,ENSMUSG00000020492
42879,ENSG00000138378,STAT4,Stat4,ENSMUSG00000062939
42880,ENSG00000138660,AP1AR,Ap1ar,ENSMUSG00000074238
42902,ENSG00000112041,TULP1,Tulp1,ENSMUSG00000037446
42904,ENSG00000005206,SPPL2B,Sppl2b,ENSMUSG00000035206
42906,ENSG00000252212,RNU2-58P,Gm23345,ENSMUSG00000065751
42909,ENSG00000148965,SAA4,Saa4,ENSMUSG00000040017
42910,ENSG00000068489,PRR11,Prr11,ENSMUSG00000020493
42914,ENSG00000232113,TEX50,Tex50,ENSMUSG00000049160
42917,ENSG00000114739,ACVR2B,Acvr2b,ENSMUSG00000061393
42919,ENSG00000167123,CERCAM,Cercam,ENSMUSG00000039787
42931,ENSG00000109736,MFSD10,Mfsd10,ENSMUSG00000001082
42932,ENSG00000203737,GPR52,Gpr52,ENSMUSG00000118401
42934,ENSG00000211891,IGHE,Ighe,ENSMUSG00000087642
42935,ENSG00000165125,TRPV6,Trpv6,ENSMUSG00000029868
42936,ENSG00000139433,GLTP,Gltp,ENSMUSG00000011884
42937,ENSG00000185420,SMYD3,Smyd3,ENSMUSG00000055067
42952,ENSG00000185924,RTN4RL1,Rtn4rl1,ENSMUSG00000045287
42960,ENSG00000139151,PLCZ1,Plcz1,ENSMUSG00000030230
42961,ENSG00000169122,FAM110B,Fam110b,ENSMUSG00000049119
42964,ENSG00000108963,DPH1,Dph1,ENSMUSG00000078789
42973,ENSG00000183092,BEGAIN,Begain,ENSMUSG00000040867
42991,ENSG00000121864,ZNF639,Zfp639,ENSMUSG00000027667
43003,ENSG00000168283,BMI1,Bmi1,ENSMUSG00000026739
43004,ENSG00000181752,OR8K5,Or8k16,ENSMUSG00000050603
43005,ENSG00000181752,OR8K5,Or8k20,ENSMUSG00000075193
43006,ENSG00000181752,OR8K5,Or8k21,ENSMUSG00000075192
43007,ENSG00000181752,OR8K5,Or8k18,ENSMUSG00000075194
43012,ENSG00000174957,OR5J2,Or5j3,ENSMUSG00000047149
43021,ENSG00000284701,TMEM247,Tmem247,ENSMUSG00000037689
43033,ENSG00000250565,ATP6V1E2,Atp6v1e2,ENSMUSG00000053375
43036,ENSG00000130363,RSPH3,Rsph3b,ENSMUSG00000023806
43037,ENSG00000130363,RSPH3,Rsph3a,ENSMUSG00000073471
43041,ENSG00000127412,TRPV5,Trpv5,ENSMUSG00000036899
43043,ENSG00000131203,IDO1,Ido1,ENSMUSG00000031551
43049,ENSG00000259417,CTXND1,Ctxnd1,ENSMUSG00000097789
43051,ENSG00000180475,OR10Q1,Or10q12,ENSMUSG00000047207
43052,ENSG00000180475,OR10Q1,Or10q1b,ENSMUSG00000051156
43053,ENSG00000180475,OR10Q1,Or10q1,ENSMUSG00000050865
43054,ENSG00000164691,TAGAP,Tagap1,ENSMUSG00000052031
43055,ENSG00000164691,TAGAP,Tagap,ENSMUSG00000033450
43067,ENSG00000241356,OR5G3,Or5g25,ENSMUSG00000075214
43068,ENSG00000241356,OR5G3,Or5g26,ENSMUSG00000075212
43069,ENSG00000119729,RHOQ,Rhoq,ENSMUSG00000024143
43070,ENSG00000128951,DUT,Dut,ENSMUSG00000027203
43071,ENSG00000071246,VASH1,Vash1,ENSMUSG00000021256
43073,ENSG00000106772,PRUNE2,Prune2,ENSMUSG00000039126
43076,ENSG00000076321,KLHL20,Klhl20,ENSMUSG00000026705
43081,ENSG00000146267,FAXC,Faxc,ENSMUSG00000028246
43085,ENSG00000176200,OR4D11,Or4d11,ENSMUSG00000067529
43091,ENSG00000172199,OR8U1,Or8u8,ENSMUSG00000075199
43092,ENSG00000087269,NOP14,Nop14,ENSMUSG00000036693
43093,ENSG00000090659,CD209,Cd209a,ENSMUSG00000031494
43094,ENSG00000090659,CD209,Cd209b,ENSMUSG00000065987
43095,ENSG00000090659,CD209,Cd209e,ENSMUSG00000040197
43096,ENSG00000090659,CD209,Cd209c,ENSMUSG00000040165
43097,ENSG00000090659,CD209,Cd209d,ENSMUSG00000031495
43099,ENSG00000132423,COQ3,Coq3,ENSMUSG00000028247
43101,ENSG00000272987,OR5AL1,Or5al1,ENSMUSG00000075202
43102,ENSG00000272987,OR5AL1,Or5al5,ENSMUSG00000075204
43103,ENSG00000272987,OR5AL1,Or5al6,ENSMUSG00000075203
43104,ENSG00000279961,OR8U3,Or8u3-ps,ENSMUSG00000050577
43111,ENSG00000132424,PNISR,Pnisr,ENSMUSG00000028248
43112,ENSG00000013523,ANGEL1,Angel1,ENSMUSG00000021257
43113,ENSG00000150269,OR5M9,Or5m9b,ENSMUSG00000099820
43114,ENSG00000150269,OR5M9,Or5m9,ENSMUSG00000102091
43116,ENSG00000151665,PIGF,Pigf,ENSMUSG00000024145
43125,ENSG00000117280,RAB29,Rab29,ENSMUSG00000026433
43126,ENSG00000185522,LMNTD2,Lmntd2,ENSMUSG00000025500
43127,ENSG00000197993,KEL,Kel,ENSMUSG00000029866
43129,ENSG00000171109,MFN1,Mfn1,ENSMUSG00000027668
43136,ENSG00000007520,TSR3,Tsr3,ENSMUSG00000015126
43143,ENSG00000148408,CACNA1B,Cacna1b,ENSMUSG00000004113
43144,ENSG00000132294,EFR3A,Efr3a,ENSMUSG00000015002
43146,ENSG00000177938,CAPZA3,Capza3,ENSMUSG00000041791
43151,ENSG00000102245,CD40LG,Cd40lg,ENSMUSG00000031132
43153,ENSG00000262664,OVCA2,Ovca2,ENSMUSG00000038268
43158,ENSG00000123552,USP45,Usp45,ENSMUSG00000040455
43159,ENSG00000043591,ADRB1,Adrb1,ENSMUSG00000035283
43165,ENSG00000139144,PIK3C2G,Pik3c2g,ENSMUSG00000030228
43170,ENSG00000133393,CEP20,Cep20,ENSMUSG00000022677
43172,ENSG00000165813,CCDC186,Ccdc186,ENSMUSG00000035173
43173,ENSG00000267200,MIR132,Mir132,ENSMUSG00000065537
43175,ENSG00000119669,IRF2BPL,Irf2bpl,ENSMUSG00000034168
43176,ENSG00000177374,HIC1,Hic1,ENSMUSG00000043099
43180,ENSG00000119878,CRIPT,Cript,ENSMUSG00000024146
43184,ENSG00000099849,RASSF7,Rassf7,ENSMUSG00000038618
43186,ENSG00000100565,LRRC74A,Lrrc74a,ENSMUSG00000059114
43187,ENSG00000070366,SMG6,Smg6,ENSMUSG00000038290
43197,ENSG00000136636,KCTD3,Kctd3,ENSMUSG00000026608
43198,ENSG00000129675,ARHGEF6,Arhgef6,ENSMUSG00000031133
43200,ENSG00000159763,PIP,Pip,ENSMUSG00000058499
43203,ENSG00000165816,VWA2,Vwa2,ENSMUSG00000025082
43204,ENSG00000125388,GRK4,Grk4,ENSMUSG00000052783
43205,ENSG00000165131,LLCFC1,Llcfc1,ENSMUSG00000029867
43207,ENSG00000164675,IQUB,Iqub,ENSMUSG00000046192
